State,City,Restaurant Name,Location,Category,Dish Name,Price (INR),Rating,Rating Count
Madhya Pradesh,Indore,McDonald's,Khajrana,McSaver Combos (2 Pc Meals),Korean Mc Aloo Tikki Burger+ Korean Yuzu-Pop Sprite,185.71,0.0,0
Uttar Pradesh,Lucknow,Big Bowl,Crown Mall,Recommended,Hunan Chicken Bowl,319.0,4.5,1
Jammu and Kashmir,Srinagar,Vishal Vaishno Dhaba,Dalgate,Salad & Corn,Boondi Raita,95.0,4.6,93
Karnataka,Bengaluru,NH1 Bowls - Highway To North,Rajarajeshwari Nagar,Veg Paratha Bowls,Punjabi Style Matar Paneer Paratha Bowl,199.0,4.5,1
Telangana,Hyderabad,KFC,Kapil Tower,Recommended,Indian Tandoori Chicken Roll,139.0,3.9,68
Delhi,New Delhi,La Pino'z Pizza,Paschim Vihar,Recommended,Burn To Hell Pizza,286.0,4.7,45
Tamil Nadu,Chennai,McDonald's,Nazarathpettai,Mexican Range & New Offerings,Korean Mc Spicy Premium Chicken Burger Combo (M),440.0,4.6,2
Uttar Pradesh,Lucknow,McDonald's,Sushant Golf City,What’s New,Coke ® Zero,91.0,0.0,0
Jharkhand,Ranchi,Kaveri - Lalpur,Lalpur,Mini Tiffin Meals,Chole + Rice Combo,285.0,0.0,0
Sikkim,Gangtok,Hosanna Restaurant,Gangtok,Roti,Aloo paratha [2 pieces],100.0,4.2,9
Maharashtra,Mumbai,Anna Snacks,Rainbow Apartments,Rava Dosa,Rava cheese masala dosa,160.0,0.0,0
Delhi,New Delhi,KFC,Rohini,Rice Bowlz,Veg Rice Bowlz,199.05,4.6,44
Telangana,Hyderabad,Cafe Coffee Day,Miyapur,Refreshing Quenchers,Red Berry Milkshake,369.0,0.0,0
Karnataka,Bengaluru,The Good Bowl,Whitefield,Fusion Mac & Cheese Bowls,Mac & Cheese Paneer Tikka Pasta Bowl,359.0,5.0,5
Assam,Guwahati,Baskin Robbins - Ice Cream Desserts,Kala Pahar,Newly Launched Italian Gelatos,Salted Caramel & Brownie Gelato Sundae,205.0,0.0,0
Delhi,New Delhi,McDonald's,Rohini,Condiments,Barbeque Dip,22.0,4.7,19
Tamil Nadu,Chennai,Subway,Egattur,Recommended,Tandoori Paneer Craver (10cm),169.0,4.2,13
Bihar,Patna,Awadhi,Boring Patliputra Road,Chaat N Snacks,Extra Bhaji,55.0,4.0,25
Karnataka,Bengaluru,KFC,Sarjapur Road,EPIC VALUE MEALS FOR 1-2 (UP TO 22% OFF),Rice & Chicken Popcorn Delight Meal,458.0,0.0,0
Rajasthan,Jaipur,Bombay Misthan Bhandar,Vaishali Nagar,MOMOS,Paneer Crunchy Momos,225.0,0.0,0
Tamil Nadu,Chennai,Sweet Truth - Cake and Desserts,Selaivayal,Recommended,Mango Cheesecake,199.0,4.9,41
Goa,Panaji,Subway,Anjuna,Recommended,Potato Chilli Cheese,299.0,4.0,2
Karnataka,Bengaluru,Olio - The Wood Fired Pizzeria,Whitefield,Loaded Nachos,Veg Loaded Nachos,239.0,0.0,0
Jharkhand,Ranchi,The Food Court,Hatia,Soups,Veg Tomato Soup,120.0,4.6,6
Manipur,Imphal,Dawat-E-Khas Restaurant,Thangal Bazaar,Starters,Veg Hakka Noodles,250.0,3.9,6
Delhi,New Delhi,Olio - The Wood Fired Pizzeria,Uttam Nagar,Kids Special - Pizza Party,Motu Patlu Kids Pizza Mini Party Combo (Pack of 5),1499.0,0.0,0
Gujarat,Ahmedabad,Mad Over Donuts,Chandkheda,Made With Kitkat,KitKat Donuts Trio,400.0,4.6,2
Karnataka,Bengaluru,KFC,Rajarajeshwari Nagar,EPIC SAVINGS BUCKET FOR 3-4 (UP TO 32% OFF),Big 12 - Chicken Bucket,799.0,4.7,31
Rajasthan,Jaipur,Olio - The Wood Fired Pizzeria,MALVIYA NAGAR,Guiltfree By Eatfit!,Farmhouse Pizza [Multigrain],339.0,4.6,49
Karnataka,Bengaluru,Domino's Pizza,Anekal,Cheese Burst - 3 New Flavours,Pepper Barbecue Chicken Cheese Burst,328.0,5.0,5
Goa,Panaji,Subway,Anjuna,Recommended,Corn & Peas Sandwich,219.0,4.4,40
Meghalaya,Shillong,Madras Cafe,Police Bazar,Main Course,Davil Choice,275.0,0.0,0
Maharashtra,Mumbai,Aromas Cafe & Bistro,Thane West,Quick Bites,Veg Loaded Mexican Nachos,429.0,3.5,8
Karnataka,Bengaluru,Pizza Hut,Kanakapura Road,Recommended,Veggie Feast,259.0,4.0,58
Jharkhand,Ranchi,Churuwala,Churuwala,Sweets,Kesar bhog,31.0,4.7,27
Madhya Pradesh,Indore,LunchBox - Meals and Thalis,SAKET SQUARE,Recommended,Gobi Paratha & Dal Makhani,259.0,0.0,0
Rajasthan,Jaipur,A Cheesy Sandwich,Laxmi Vihar,Pizza,Margherita Pizza 9 Inch,189.0,0.0,0
Jharkhand,Ranchi,Shree Gangaur,Jai Prakash Nagar,South Indian,Cheese Chilly Dosa ,220.0,0.0,0
Goa,Panaji,Viggis,Nor_Baga Calangute,Main Course,Tawa Veg,380.0,0.0,0
Haryana,Gurgaon,Mealy - Your Everyday Meal,Vasant Kunj,All Day Breakfast & Snacks,Aloo Pyaaz Paratha,149.0,4.5,152
Jammu and Kashmir,Srinagar,Mad For Momos,City Walk,Special Shakes & Mocktails,Banana Shake,99.0,3.6,5
Uttarakhand,Dehradun,The Eleganza,Bengali Club,Paneer (Indian Cheese),Palak Paneer,449.0,5.0,4
Jammu and Kashmir,Srinagar,Cafe Ertugrul,Rambagh,Kathi Rolls,Chicken Tikka Roll,190.0,4.2,417
Sikkim,Gangtok,Hosanna Restaurant,Gangtok,Hot Beverages,Regular coffee,50.0,0.0,0
Jammu and Kashmir,Srinagar,New Shakti Sweets & Bakery,Karanagar,Non Veg Dishes,DAL TADKA ,100.0,0.0,0
Punjab,Chandigarh,KFC,Sector 9,Double Down Burger,Double Down Burger,259.0,4.4,59
Chhattisgarh,Raipur,Moti Mahal,Vishal Nagar,Pasta,Mix Sauce Pasta,364.0,0.0,0
Telangana,Hyderabad,Makhani Darbar,PEERZADIGUDA,Party Combos,Flavors of North (Non-Veg),769.0,0.0,0
Karnataka,Bengaluru,Pizza Hut,Kengeri Satlite Town,Non Veg Pizza,Triple Chicken Feast,409.0,4.9,27
Madhya Pradesh,Indore,Burger Headquarter,Dewas City,Junior Burger,Supreme Veg,108.0,4.8,10
Tripura,Agartala,Daya Hari Chatpata,Kaman Chowmuhai,Beverage Combo,Tandoori Chicken  Combo,400.0,3.5,16
Tamil Nadu,Chennai,Salem RR Biriyani Unavagam,Chromepet,Tiffin,2 Pcs Parotta+mutton Masala,200.0,0.0,0
West Bengal,Kolkata,LunchBox - Meals and Thalis,Thakurpukur,Starters,Dahi Kebab (3 Pcs),149.0,5.0,6
Uttar Pradesh,Lucknow,McDonald's,Sushant Golf City,McCafe,Strawberry Cheese cake,219.0,4.5,1
Jharkhand,Ranchi,Wooden Spoon Restaurant,Khelgaon,Veg Chinese Starters,Veg manchurian,208.0,0.0,0
Chhattisgarh,Raipur,Haldiram's Sweets and Namkeen,Shankar Nagar,Chai Ke Saath,Methi Poori [200 GM],65.0,0.0,0
Himachal Pradesh,Shimla,Jashan Restaurant,Mall Road,Chicken,Egg Burji (4 Pc),300.0,0.0,0
Telangana,Hyderabad,Chinese Wok,Gachibowli,Recommended,Veg Chinese Fried Rice - Half (500 ml).,269.0,0.0,0
Meghalaya,Shillong,KFC,Police Bazar,ALL DAY LUNCH SPECIAL MEAL BOX (SAVE RS 115),Rice Box Meal,399.0,4.4,88
Bihar,Patna,Grand Biryani Mahal,Kankarbagh,Tandoori (Kabab),Chicken Reshmi Kabab,285.0,0.0,0
Rajasthan,Jaipur,Mr. Pizza,Jhotwara,Vip Special,"7"" Regular Ranibow Pizza Pizza",260.0,0.0,0
Gujarat,Ahmedabad,La Pino'z Pizza,Thaltej,DOTD,Cheese Lovers Pizza Regular,308.0,4.4,1
Himachal Pradesh,Shimla,New Chanakya,Mall Road Solan,Parathas,Onion Paratha,105.0,4.7,8
Madhya Pradesh,Indore,Olio - The Wood Fired Pizzeria,Vijaya Nagar,Signature Garlic Knots,Peri-Peri Garlic Knots with Cheesy Dip,199.0,5.0,5
Madhya Pradesh,Indore,Pizza Hut,Vijay Nagar,Appetizer,Jalapeno Pepper Dip,28.57,3.7,14
Goa,Panaji,Wow! Momo,Mapusa,Burger Momo [Moburg],Chicken Moburg,129.0,4.1,162
Gujarat,Ahmedabad,The Chocolate Room,Vaishno Devi Circle,Waffle Wonders,Eskimo Waffle - 2 Serve Of Waffle,400.0,0.0,0
Maharashtra,Mumbai,Radha Krishna,Thane Hiranandani Estate,Thali,Mushroom Thali,270.0,0.0,0
Tamil Nadu,Chennai,Burger King,Perambur,NEW BK Fusion (Made with KitKat),BK Fusion Shake (made with Kit Kat).,279.0,4.1,2
Himachal Pradesh,Shimla,Chullah,Solan Town,Paratha And Eggs,Basan Pyaz Paratha (Butter),45.0,0.0,0
Goa,Panaji,Wow! Momo,Mapusa,Recommended,Gluten Free Chicken Cheese Steam Momo,365.0,0.0,0
Karnataka,Bengaluru,Baskin Robbins - Ice Cream Desserts,SAMSKRUTI GARDENIA,Value Scoops,Cotton Candy Ice Cream (Small Scoop),110.0,0.0,0
Goa,Panaji,McDonald's,Calangute,Group Sharing Combos,Burger Combo for 2: McVeggie Burger ,424.76,4.0,14
Uttar Pradesh,Lucknow,Burger King,Arjunganj,NEW Whopper Deluxe (Reg. Size Bun),Crunchy Soft Paneer Whopper Deluxe(Reg. Size Bun)!,199.0,3.4,3
Tamil Nadu,Chennai,Baskin Robbins - Ice Cream Desserts,Keelkattalai,Freshly Scooped Tubs,Dutch Chocolate Ice Cream (Tub),357.0,5.0,2
Telangana,Hyderabad,Burger King,Pebel City,Exclusive Deals (Save upto 40%),BK Veggie Burger + Crispy Veg Burger.,209.0,4.0,6
Assam,Guwahati,Burger King,Guwahati,NEW Whopper Deluxe (Reg. Size Bun),Extra Crunchy Veg Whopper Deluxe(Reg. Size Bun).,149.0,4.5,2
Madhya Pradesh,Indore,Burger King,Indore,Korean Spicy Fest(Limited Time Only),2Crispy Veg Double Patty Burger+Korean Spicy Fries.,357.0,0.0,0
Maharashtra,Mumbai,Radha Krishna,Thane Hiranandani Estate,Seasonal Milk Shakes,Vanila Milk Shake,120.0,0.0,0
Maharashtra,Mumbai,Aromas Cafe & Bistro,Seawoods,International Blends,Cappuccino Costa Rican Coffee,269.0,0.0,0
Jharkhand,Ranchi,Wooden Spoon Restaurant,Khelgaon,Non Veg Curry,Egg curry [2 pieces],143.0,0.0,0
Punjab,Chandigarh,KFC,Phase 9 Mohali,Flat 179 Meals/Bucket,4 Pc Hot Wings & Regular Popcorn,294.29,4.4,49
Chhattisgarh,Raipur,Baskin Robbins - Ice Cream Desserts,magnato the mall,Family Prepacks,Alphonso Mango Ice Cream (Family Prepack),326.27,0.0,0
Sikkim,Gangtok,Hot Stuff Fast Food,Gangtok,Roll,Egg Panner Roll,110.0,0.0,0
Goa,Panaji,Mustard Cafe - Hotel Astoria,Assagao,Small Plates,Mocher Cutlet,510.0,0.0,0
Haryana,Gurgaon,KFC,Sohna Road,BURGERS,Chicken Zinger Burger - Tandoori with Cheese,244.0,5.0,3
Manipur,Imphal,Domino's Pizza,Chingmeirong,PIZZA MANIA,Non Veg Loaded,219.0,4.3,110
Mizoram,Aizawl,Domino's Pizza,Only_Dominos_Aizawl,Recommended,Onion,109.0,0.0,0
West Bengal,Kolkata,"The Dessert Heaven - Pastry, Brownie and Cakes",Kestopur,Cupcakes,Mango Cupcake,109.0,5.0,1
Karnataka,Bengaluru,McDonald's,Yelahanka,Protein Plus and Burgers with Millet Bun,McCrispy Chicken Burger Protein Plus + 4 Pc Chicken Nugget + Coke Zero,419.0,0.0,0
Telangana,Hyderabad,McDonald's,Pocharam,McSaver Combos (2 Pc Meals),Crispy Veggie Burger +  Mexican Cheesy Fries,320.0,0.0,0
Karnataka,Bengaluru,Olio - The Wood Fired Pizzeria,Jawaharlal Nehru Road,Crazy Deals,Corn and Onion Pizza + Knots Combo,499.0,4.2,2
Delhi,New Delhi,LunchBox - Meals and Thalis,Sector 19,Kulcha Lunchbox,Mushroom Masala with Kulcha Lunchbox,289.0,0.0,0
Gujarat,Ahmedabad,Pastas By Pizza Hut,Near Science City,Hut Café,Masala Mirinda,109.0,0.0,0
Mizoram,Aizawl,Stay Fit Kitchen,Upper Republic,Keto Diet,Keto Veg Wrap,214.0,0.0,0
Kerala,Kochi,Dum Safar Biryani,Lulu Mall,Curries And Breads,Butter Chicken,409.0,4.0,1
Punjab,Chandigarh,Olio - The Wood Fired Pizzeria,SECTOR 24,Dips,Pizza Chilli Oil,30.0,4.1,2
Uttar Pradesh,Lucknow,Aryan Family's Delight,Sushant Golf City,Recommended,Indian Meal,300.0,4.6,87
Manipur,Imphal,Domino's Pizza,Keishamthong,Chicken Burst,Tandoori Chicken Burst Pizza (Reg),449.0,0.0,0
Goa,Panaji,Dosa Hub,Mazal Waddo,Choice Of Omelette,Bread Omelette,109.0,2.8,7
Assam,Guwahati,McDonald's,Ganeshguri,Beverages,Large Sprite,114.0,4.6,28
Goa,Panaji,Domino's Pizza,Mazal Waddo,PIZZA MANIA,Non Veg Loaded,179.0,4.4,151
Gujarat,Ahmedabad,KFC,Rangat Green Memories,Recommended,Double Chicken Roll,168.57,4.1,15
Madhya Pradesh,Indore,Chinese Wok,Treasure Island Indore,Dessert,Black forest Mousse Cake,59.0,4.2,29
West Bengal,Kolkata,Makhani Darbar,STATION ROAD,Recommended,Flavors of North (Non-Veg),769.0,0.0,0
Telangana,Hyderabad,Pizza Hut,Meerpet,Recommended,Classic Herbed Chicken & Capsicum,179.0,4.5,29
Manipur,Imphal,4 Seasons,Majorkhul,Pork Lover,Pork Fried Rice,210.0,0.0,0
Delhi,New Delhi,McDonald's,Raj Nagar Extension,Burgers,McAloo Tikki Burger ®,58.0,4.5,340
Punjab,Chandigarh,Veg Meals by Lunchbox,Panchkula,North Indian Curries,Pindi Chole Bowl,179.0,0.0,0
Tamil Nadu,Chennai,Ss Hyderabad Biryani,Sriperumbudur,Mutton Dry & Gravy,Ss Special Mutton Gravy (4 Pcs) (bone),410.0,4.4,3
Uttarakhand,Dehradun,Pandit Ji Sweets & Restaurant Dairy,Chironwali,South Indian,Masala Dosa( desi ghee),239.0,4.2,400
West Bengal,Kolkata,NH1 Bowls - Highway To North,Jessore Rd,Non-Veg Rice Bowls [Steamed Rice],Patiala Chicken Mughlai [Steamed Rice] Bowl,299.0,2.8,4
Punjab,Chandigarh,Ovenfresh,Sector 24,Recommended,Target Achiever Photo Cake,769.0,0.0,0
Uttar Pradesh,Lucknow,NBC - Nothing Before Coffee,Indira Nagar,Desserts,Brownie Shot,150.0,0.0,0
Himachal Pradesh,Shimla,Pyramid,Mall Road,Asian,Mushroom Chilli,529.0,0.0,0
Rajasthan,Jaipur,Singh's Town Cafe,Kukas,Vada Pav,Mumbaiya teekha,90.0,3.8,10
Tripura,Agartala,Frespresso,Ganaraj Chowmuhani,Must Try Combos,"Mexican Sandwich Chicken & 
Egg Burnt Garlic Noodles
                                                                    ",390.0,0.0,0
West Bengal,Kolkata,LunchBox - Meals and Thalis,Madhyamgram,All Day Breakfast Box,Masala Cheesy Omelette with Kulcha Bread,179.0,4.8,4
Meghalaya,Shillong,KFC,Police Bazaar,BURGERS,Spicy Zinger Burger and Popcorn Meal,502.93,4.9,5
West Bengal,Kolkata,KFC,Barasat,BURGERS,Chicken Burger Buddy Meal,549.0,4.7,85
Rajasthan,Jaipur,Burger King,Jagatpura,Kings Collection ( Premium Burgers ),Original Whopper Veg(XL size Bun) Meal(Reg).,374.0,0.0,0
Karnataka,Bengaluru,Pizza Hut,Global Mall,Non Veg Pizza,Chicken Tikka Supreme,409.0,4.1,2
Gujarat,Ahmedabad,China Belly By Wow! Momo,Phoenix Palladium,Noodles Large,Egg Noodles Large,225.0,0.0,0
Odisha,Bhubaneswar,Pizza Hut,Baxi Bazar,Pastas + 2 PC Plain Garlic Bread,Tomato Twist Red Sauce Pasta + 2 PC Plain Garlic Bread,229.0,0.0,0
Karnataka,Bengaluru,The Good Bowl,R.M.V. 2nd Stage,Value Combos,Chicken Biryani Bowl + Thums Up Combo,269.0,0.0,0
Gujarat,Ahmedabad,Gwalia Sweets & Fast Food,Prahlad Nagar,Snacks,Palak Corn Kachori,40.0,4.5,627
Haryana,Gurgaon,Olio - The Wood Fired Pizzeria,Near Goga Mandir,Recommended,Smoked Hawaiian Pizza,349.0,3.0,13
Manipur,Imphal,City Dhaba,Takhel Leikai,Soups,American corn soup,150.0,0.0,0
Jharkhand,Ranchi,The Food Court,Hatia,Main Course,Shahi Paneer,260.0,4.1,19
Mizoram,Aizawl,I food u,Bazaar,Noodles Soups,Spicy Ramen,300.0,4.4,10
West Bengal,Kolkata,Domino's Pizza,Harish Mukherjee Road,Recommended,Capsicum & Red Paprika with Videshi Hot Sauce,89.0,4.7,46
Tripura,Agartala,Gopal Mistanna Bhandar,Hapania,Sweets,Kalakand,19.0,4.6,291
Rajasthan,Jaipur,Makhani Darbar,Hans Vihar,Mini Biryani Bowl,Egg Mini Biryani Bowl,229.0,0.0,0
Maharashtra,Mumbai,Veg Sizzel's,Vasant Vihar,Chinese Starters,Baby Corn Schezwan Gravy,385.0,0.0,0
Delhi,New Delhi,Subway,Sector 62,Recommended,Potato Chilli Cheese,309.0,4.3,2
Gujarat,Ahmedabad,McDonald's,Prahlad Nagar,Coffee & Beverages (Hot and Cold),Berry Lemonade Regular,143.0,5.0,12
West Bengal,Kolkata,Burger King,Lake Town,Kings Collection ( Premium Burgers ),Chicken Tandoori Burger+BK Chicken Burger.,448.0,4.3,2
Assam,Guwahati,Aloo Pitika,Amingaon,Starter,Chicken pakora,150.0,0.0,0
Telangana,Hyderabad,Hotel Shubham Celebrations Dhanturi Group of Hotel,Miyapur,Doughnuts,Trio Doughnut Pops [3 Pcs],59.0,0.0,0
Gujarat,Ahmedabad,Jay Bhavani Vadapav,Isanpur,Sandwich,Vegetable Sandwich Without Grill Regular (200 Gms),80.0,0.0,0
Telangana,Hyderabad,KFC,Narepally,DESSERTS & BEVERAGES,Mirinda Reusable Bottle,99.0,0.0,0
Odisha,Bhubaneswar,Bawarchi Fast Food,Municipal Colony,Main Course,Egg Bhujia Curry,189.0,3.9,28
Karnataka,Bengaluru,Olio - The Wood Fired Pizzeria,Whitefield,Pasta Lunch Box,Lunch Box - Herbed Chicken Pesto Pasta,349.0,0.0,0
Telangana,Hyderabad,BOX8 - Desi Meals,Serlingampally Circle No 20,Paratha Rolls,Spicy Paneer Mayo Roll,219.0,4.4,1
Mizoram,Aizawl,Pizza Hut,Aizwal,Veg Pizza,Country Feast,319.0,0.0,0
Mizoram,Aizawl,Felafels Restaurant,Zarkawt,Quesadilla,Chicken Quesadilla,270.0,0.0,0
Gujarat,Ahmedabad,Das Khaman,Science City,Fresh Varieties 1 Plate Online,Idada White Dhokla 105.26 Gm,40.0,4.3,5
Maharashtra,Mumbai,FreshMenu,Waghbil,Recommended,Mediterranean Cottage Cheese Focaccia - High Protein,269.0,4.8,70
Odisha,Bhubaneswar,Grameen Kulfi,CUTTACK,Summer Combo Kulfi,Desi Daawat,466.1,0.0,0
Tamil Nadu,Chennai,The Good Bowl,Chrompet,Signature Bowls,Roast Vegetables Rice Bowl,329.0,3.7,17
Bihar,Patna,Momo Nation Cafe,Hajipur,Tandoori Chaap,Kadhai Chaap,200.0,0.0,0
Punjab,Chandigarh,Baskin Robbins - Ice Cream Desserts,SAS Nagar,Accompaniments,Chocolate Fudge Brownie,105.0,0.0,0
Manipur,Imphal,Pizza Hut,Chingamikha,Pastas + 2 PC Plain Garlic Bread,Cosy Comfort White Sauce Chicken Pasta + 2 PC Plain Garlic Bread,269.0,0.0,0
Uttarakhand,Dehradun,Badmaash Kebabi,"Mall Of Dehradun , Miyanwala",Combos [O],Veg Galouti Kabab & Paratha,349.0,5.0,3
Goa,Panaji,Cafe Sanaya,Nor_Baga-Calangute,Veg Rice and Noodles,Veg Schezwan Noodles,185.0,0.0,0
Himachal Pradesh,Shimla,Sahib's Punjabi Tadka,South Shimla,Paneer In Gravy,Paneer Bhurji,410.0,0.0,0
Mizoram,Aizawl,I food u,Bazaar,Combos,Chicken Popcorn Rice Bowl,170.0,4.4,13
Assam,Guwahati,McDonald's,Ganeshguri,The Ranveer Singh Meal,Large EVM  McChicken Xplode,358.0,3.9,4
Uttar Pradesh,Lucknow,Indrani Sweets And Restaurant,Indira Nagar,Pizzas & Pasta,Veg Macaroni Pasta,210.0,4.9,77
Madhya Pradesh,Indore,KFC,Bhavarkua,Rolls,Thai Spicy Chicken Roll,139.0,4.0,19
Kerala,Kochi,Zaatar Arabic Restaurant,Palarivattom,Al Faham,Barbeque,250.0,4.0,62
Jharkhand,Ranchi,Simla Chat,Main Road,Chinese,Chicken Chilli ( 7 Pieces ),180.0,3.0,38
Tamil Nadu,Chennai,Burger King,Kancheepuram,NEW Whopper Deluxe (Reg. Size Bun),Molten Cheese Lava Whopper Deluxe(Reg. Size Bun)!,199.0,0.0,0
Maharashtra,Mumbai,KFC,Seawoods,Sides and Dips,French Fries - Medium,99.05,4.1,241
Gujarat,Ahmedabad,Makhani Darbar,Vejalpur,Desserts,Black Forest Cake (Half Kg) (Eggless),479.0,0.0,0
Meghalaya,Shillong,Trelly,Laban,Mushroom Soup,Mushroom Burnt Garlic Soup ,170.0,0.0,0
Sikkim,Gangtok,Burger King,Gangtok,Korean Spicy Fest(Limited Time Only),2Crispy Veg Burger+Korean Spicy Fries+2Coke.,399.0,0.0,0
Karnataka,Bengaluru,Udupi Grand,Yelahanka,Indian Breads,Naan (1 Pc),55.0,4.6,24
Tamil Nadu,Chennai,Sangeetha Veg Restaurant,Poonamallee,Chinese Sauces,Mushroom Manchurian Gravies Medium,310.0,2.9,6
Mizoram,Aizawl,Khuangthali Restaurant,Bawngkawn,Shakes,Oreo Shake,130.0,0.0,0
Haryana,Gurgaon,The Good Bowl,"Sector 37,Gurgaon",Baked Cheese Rice Bowls (Powered by Firangi Bake),Chicken Tikka Baked Cheese Rice Bowl,299.0,0.0,0
Rajasthan,Jaipur,McDonald's,Malviya Nagar,Extra Value Meal Large,Large EVM McNuggets®  6pc,330.48,0.0,0
Jammu and Kashmir,Srinagar,New Shakti Sweets,Residency Road,Recommended,Aloo tikki chat,130.0,4.1,19
Uttarakhand,Dehradun,Tree Cafe And Restaurants,Raipur,Noodles,Chilli Garlic Noodles Non Veg,165.0,0.0,0
Uttar Pradesh,Lucknow,LunchBox - Meals and Thalis,Aliganj,Biryani Lunchbox,Veg Biryani Bowl,239.0,0.0,0
Punjab,Chandigarh,Makhani Darbar,Manimazra,Rolls & Shawarma,Paneer Tikka Kuboos Shawarma & Beverage Combo,149.0,0.0,0
Karnataka,Bengaluru,Baskin Robbins - Ice Cream Desserts,vijayanagar,Chocolate Ice Creams,Gold Medal Ribbon Ice Cream,110.0,0.0,0
Haryana,Gurgaon,Olio - The Wood Fired Pizzeria,Near Goga Mandir,Cheese Burst Pizza,Cheeseburst - Farmhouse Pizza,439.0,3.6,16
Karnataka,Bengaluru,McDonald's,Peenya,McSaver Combos (2 Pc Meals),Lemon Ice Tea + Choco Crunch Cookie,237.14,0.0,0
Uttar Pradesh,Lucknow,Mr Choco Bakery,Chowk,Pizza,Country Feast Pizza( Personal 8 Inch),450.0,0.0,0
Tamil Nadu,Chennai,Big Bowl,Chromepet,Drinks,Aam Panna,99.0,4.2,1
Nagaland,Kohima,51 Rainbows,Razu Point,Super Sundae (350 Ml),Lotus Biscoff,250.0,4.3,4
Rajasthan,Jaipur,Bombay Misthan Bhandar,Vaishali Nagar,GHEWAR,Mini Ghewar Mitha With Malai,667.0,4.0,7
Telangana,Hyderabad,Faasos' Signature Wraps & Rolls,shamshabad,International Wraps,Smoky Diced Paneer Salad Wrap.,229.0,3.9,2
Meghalaya,Shillong,Dejavu,Laitumkhrah,APPTIZERS VEG,BABY CORN MUSHROOM CHILLI BASIL,231.0,3.2,9
Karnataka,Bengaluru,McDonald's,Peenya,Group Sharing Combos,2 Chicken Maharaja Mac Burger + 2 Coke + Fries (L) + McFlurry Oreo (M),670.47,4.3,27
Uttar Pradesh,Lucknow,Burger King,Arjunganj,Value Meals (Save Upto 47%),Crunchy Veg Taco+Veggie Strips+Coke.,244.0,0.0,0
Telangana,Hyderabad,Pizza Hut,Nanakramguda,Appetizer,BBQ Baked Chicken Wings 4pc,219.0,4.3,2
Delhi,New Delhi,Hira Sweets And Confectionary Pvt. Ltd.,Sector 51,Midnight Craving,Vada Sambar,130.0,3.9,1
Meghalaya,Shillong,Hotel Heiga,Dhankheti,Sizzlers,Prawn Curry,832.0,0.0,0
Manipur,Imphal,Mellow,Thangmeiband,Soups,Pork Soup,130.0,0.0,0
Karnataka,Bengaluru,Brik Oven - Original Sourdough Pizzas,Sarjapur Road,Recommended,Cookie Monster Shake,300.0,4.4,1
Karnataka,Bengaluru,Shiv Sagar,Anekal,Indian Rice,Curd Rice,146.0,4.6,78
Himachal Pradesh,Shimla,Beekays,Mall Road,Recommended,Pineapple Cake ( 500 gms ),850.0,4.9,7
Maharashtra,Mumbai,Aromas Cafe & Bistro,Thane West,Extras,Garlic Sauce Dip,129.0,0.0,0
Telangana,Hyderabad,"Faasos - Wraps, Rolls & Shawarma",Narsingi,Pocket Friendly Rolls,2 Classic Non-Veg Rolls at 165 each .,329.0,5.0,6
Karnataka,Bengaluru,Kanti Sweets,Kengeri,Sweets,Sweet Boondi,75.24,4.8,145
Karnataka,Bengaluru,ITC Master Chef Creations,Yelhanka,Dum Biryanis,Egg Biryani [500 gm],427.0,5.0,3
Jammu and Kashmir,Srinagar,Cafe Parizaad,Rajbagh,Breads,Paratha lachha,40.0,3.6,38
Rajasthan,Jaipur,Bombay Mishthan Bhandar (Bmb) - Durapura,Durgapura,Indian Snacks,Chole Bhature,185.0,4.3,75
Tamil Nadu,Chennai,McDonald's,Nazarathpettai,McBreakfast and Value Mornings,Sausage & Egg McMuffin Sandwich Combo,273.0,3.0,1
Maharashtra,Mumbai,Pizza Hut,Ulwe,Garlic Bread,Loaded Bread Stix,169.0,4.0,29
Maharashtra,Mumbai,NH1 Bowls - Highway To North,Nerul,Veg Rice Bowls [Steamed Rice],Townhall's Kadhai Paneer [Steamed Rice] Bowl,299.0,5.0,4
Uttar Pradesh,Lucknow,McDonald's,Sushant Golf City,Burgers,Chicken Maharaja Mac®,247.0,4.6,35
Tripura,Agartala,Sherowali Restaurant And Cafe,Shankar Chowmuhani,Momos,Paneer Fried Momos [6 Pieces],205.0,0.0,0
Goa,Panaji,Pizza Hut,Bardez,Veg Pizza,Spiced Paneer,259.0,4.6,9
Delhi,New Delhi,Ghar ka Khana by EatFit,Sector 63,Rumali Roti Thali (New),"Kadhai Soya Chaap, Dal Makhani, Rumali Roti Thali",262.0,0.0,0
Rajasthan,Jaipur,Burger King,Jagatpura,Recommended,Crispy Veg Double Patty Burger,99.0,4.3,372
Manipur,Imphal,New Blue Moon,Dharmasala,Biryani & Rice In Bowl,Veg Biryani,253.0,4.4,14
Himachal Pradesh,Shimla,Sahib's Punjabi Tadka,South Shimla,Dry Mutton,Mutton Seekh Kebab,620.0,0.0,0
West Bengal,Kolkata,Keventers - Milkshakes & Desserts,Rajarhat,Recommended,Chocolate Hazelnut Milkshake,259.0,4.7,73
Kerala,Kochi,Wow! China,Edappally,Wow! Kulfi Dessert (8),Belgium Chocolate Popsicles Ice cream,160.0,0.0,0
Nagaland,Kohima,KFC,Elite Complex,SIDES AND DIPS,Peri Peri Chicken Leg Piece - 1 pc,115.0,4.2,1
